"lhs";"rhs";"support";"confidence";"lift";"count";"pname"
"20231,23878,49031";48954;0,000118079089374063;1;3849,5;10;"Sauvignon Blanc"
"13911,38555,47906";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,35149,38555";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,28238,38555";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,28578,38555";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,25456,47906";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,35149,47906";35910;0,000118079089374063;1;3849,5;10;"Chardonnay"
"13911,28238,47906";35910;0,000118079089374063;1;3849,5;10;"Chardonnay"
"13911,28578,47906";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,28155,47906";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,25456,35149";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,25456,28238";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,28238,35149";35910;0,000118079089374063;1;3849,5;10;"Chardonnay"
"13911,28155,35149";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,28238,32502";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,28238,28578";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,28155,28238";35910;0,000106271180436656;1;3849,5;9;"Chardonnay"
"13911,14385,28238";35910;0,000106271180436656;1;3849,5;9;"Cabernet Sauvignon"
"20231,23878,48241,49031";48954;0,000118079089374063;1;3849,5;10;"Beer"
"13911,25456,38555,47906";35910;0,000106271180436656;1;3849,5;9;"Beer"
"13911,35149,38555,47906";35910;0,000106271180436656;1;3849,5;9;"Beer"
"13911,28238,38555,47906";35910;0,000106271180436656;1;3849,5;9;"Beer"
"13911,28578,38555,47906";35910;0,000106271180436656;1;3849,5;9;"Beer"
"13911,31036,38555,47906";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,38555,46088,47906";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,25456,35149,38555";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,25456,28238,38555";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,25456,28578,38555";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,28238,35149,38555";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,28578,35149,38555";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,31036,35149,38555";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,35149,38555,46088";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,28238,28578,38555";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,28238,31036,38555";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,28238,38555,46088";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,28578,31036,38555";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,28578,38555,46088";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,25456,35149,47906";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,25456,28238,47906";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,25456,28578,47906";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,25456,31036,47906";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,25456,46088,47906";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,28238,35149,47906";35910;0,000118079089374063;1;3849,5;10;"India Pale Ale"
"13911,28578,35149,47906";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,31036,35149,47906";35910;0,000118079089374063;1;3849,5;10;"India Pale Ale"
"13911,28155,35149,47906";35910;0,000106271180436656;1;3849,5;9;"India Pale Ale"
"13911,35149,46088,47906";35910;0,000118079089374063;1;3849,5;10;"Red Blend"
"13911,28238,28578,47906";35910;0,000106271180436656;1;3849,5;9;"Red Blend"
"13911,28238,31036,47906";35910;0,000118079089374063;1;3849,5;10;"Red Blend"
"13911,28155,28238,47906";35910;0,000106271180436656;1;3849,5;9;"Red Blend"
"13911,28238,46088,47906";35910;0,000118079089374063;1;3849,5;10;"Red Blend"
"13911,28578,31036,47906";35910;0,000106271180436656;1;3849,5;9;"Little Sumpin' Sumpin' Ale"
"13911,28578,46088,47906";35910;0,000106271180436656;1;3849,5;9;"Premium Lager Beer"
"13911,28155,31036,47906";35910;0,000106271180436656;1;3849,5;9;"Premium Lager Beer"
"13911,28155,46088,47906";35910;0,000106271180436656;1;3849,5;9;"Premium Lager Beer"
"13911,25456,28238,35149";35910;0,000106271180436656;1;3849,5;9;"Premium Lager Beer"
"13911,25456,28578,35149";35910;0,000106271180436656;1;3849,5;9;"Premium Lager Beer"
