"","Cust_id","Freq","Recency","last_trans","Monetary Value","R_Score","F_Score","M_Score","M_SCORE","Segments"
"2","12347",7,11,"2011-12-07",4310,5,4,5,5,"Champions"
"3","12348",4,21,"2011-09-25",1797.24,1,2,3,3,"About to Sleep"
"6","12352",7,16,"2011-11-03",1545.41,2,4,3,3,"About to Sleep"
"10","12356",3,14,"2011-11-17",2811.43,3,1,4,4,"Potential Customers"
"13","12359",4,19,"2011-10-13",6372.58,2,2,5,5,"About to Sleep"
"14","12360",3,18,"2011-10-18",2662.06,2,1,4,4,"About to Sleep"
"16","12362",10,11,"2011-12-06",5226.23,5,5,5,5,"Champions"
"18","12364",4,11,"2011-12-02",1313.1,5,2,2,2,"About to Sleep"
"21","12370",4,18,"2011-10-19",3545.69,2,2,4,4,"About to Sleep"
"23","12372",3,21,"2011-09-29",1298.04,1,1,2,2,"Hibernating"
"30","12380",4,13,"2011-11-18",2724.81,4,2,4,4,"Potential Customers"
"31","12381",5,11,"2011-12-05",1845.31,5,3,3,3,"About to Sleep"
"32","12383",5,37,"2011-06-08",1850.56,1,3,3,3,"About to Sleep"
"35","12388",6,13,"2011-11-24",2780.66,4,3,4,4,"About to Sleep"
"38","12393",4,21,"2011-09-28",1582.6,1,2,3,3,"About to Sleep"
"40","12395",11,13,"2011-11-20",3018.63,4,5,4,4,"Champions"
"43","12399",4,27,"2011-08-12",1108.65,1,2,2,2,"Hibernating"
"49","12407",5,17,"2011-10-21",1708.12,2,3,3,3,"Need Attention"
"50","12408",4,15,"2011-11-07",2873.55,3,2,4,4,"Potential Customers"
"53","12412",3,21,"2011-09-26",1226.88,1,1,2,2,"Hibernating"
"54","12413",3,20,"2011-10-04",704.1,2,1,1,1,"About to Sleep"
"55","12414",3,41,"2011-05-06",562.41,1,1,1,1,"Lost Customers"
"56","12415",15,14,"2011-11-15",124413.18,3,5,5,5,"Loyal Customers"
"57","12417",9,11,"2011-12-06",3649.1,5,4,4,4,"Champions"
"60","12421",4,13,"2011-11-24",806.27,4,2,1,1,"Promising Customers"
"61","12422",3,24,"2011-09-05",803.56,1,1,1,1,"Lost Customers"
"62","12423",8,10,"2011-12-09",1859.31,5,4,3,3,"About to Sleep"
"66","12427",3,13,"2011-11-18",825.8,4,1,1,1,"Promising Customers"
"67","12428",7,14,"2011-11-14",7956.46,3,4,5,5,"Loyal Customers"
"68","12429",4,12,"2011-11-30",3750.4,4,2,4,4,"Potential Customers"
"70","12431",14,15,"2011-11-04",6449.29,3,5,5,5,"Loyal Customers"
"71","12432",3,16,"2011-10-28",5059.32,2,1,5,5,"About to Sleep"
"72","12433",6,10,"2011-12-09",13375.87,5,3,5,5,"About to Sleep"
"76","12437",15,11,"2011-12-08",4951.41,5,5,5,5,"Champions"
"80","12444",5,13,"2011-11-18",5005.46,4,3,5,5,"About to Sleep"
"85","12449",4,14,"2011-11-17",4067.29,3,2,5,5,"About to Sleep"
"87","12451",5,12,"2011-11-29",9035.52,4,3,5,5,"About to Sleep"
"91","12455",6,21,"2011-09-27",2466.86,1,3,4,4,"About to Sleep"
"92","12456",3,17,"2011-10-26",3181.04,2,1,4,4,"About to Sleep"
"93","12457",5,22,"2011-09-19",1987.88,1,3,3,3,"About to Sleep"
"97","12463",4,18,"2011-10-17",1338.78,2,2,2,2,"Need Attention"
"98","12464",7,12,"2011-11-29",1212.05,4,4,2,2,"About to Sleep"
"101","12471",20,11,"2011-12-07",19824.05,5,5,5,5,"Champions"
"102","12472",7,15,"2011-11-07",6572.11,3,4,5,5,"Loyal Customers"
"103","12473",4,15,"2011-11-10",2888.69,3,2,4,4,"Potential Customers"
"104","12474",16,13,"2011-11-22",7367.99,4,5,5,5,"Champions"
"106","12476",9,13,"2011-11-24",6730.83,4,4,5,5,"Champions"
"107","12477",6,14,"2011-11-17",13219.74,3,3,5,5,"About to Sleep"
"110","12480",4,14,"2011-11-11",3281.63,3,2,4,4,"Potential Customers"
"111","12481",8,14,"2011-11-17",5596.32,3,4,5,5,"Loyal Customers"
"112","12483",8,13,"2011-11-22",2364.98,4,4,4,4,"Champions"
"113","12484",6,15,"2011-11-07",4541.72,3,3,5,5,"About to Sleep"
"114","12488",3,12,"2011-11-30",1298.66,4,1,2,2,"Promising Customers"
"116","12490",10,11,"2011-12-04",5417.93,5,5,5,5,"Champions"
"120","12494",6,13,"2011-11-24",1241.15,4,3,2,2,"About to Sleep"
"123","12500",10,14,"2011-11-16",4227.92,3,5,5,5,"Loyal Customers"
"125","12502",5,24,"2011-09-05",3723.87,1,3,4,4,"About to Sleep"
"139","12517",4,14,"2011-11-11",2464.89,3,2,4,4,"Potential Customers"
"140","12518",5,10,"2011-12-09",2056.89,5,3,3,3,"About to Sleep"
"142","12520",5,22,"2011-09-21",2634.26,1,3,4,4,"About to Sleep"
"145","12523",11,13,"2011-11-20",1789.77,4,5,3,3,"About to Sleep"
"146","12524",8,12,"2011-11-30",4485.72,4,4,5,5,"Champions"
"147","12526",3,10,"2011-12-09",1316.66,5,1,2,2,"About to Sleep"
"148","12527",3,22,"2011-09-19",348.71,1,1,1,1,"Lost Customers"
"149","12528",6,12,"2011-11-30",1933.48,4,3,3,3,"About to Sleep"
"150","12530",4,19,"2011-10-11",1662.28,2,2,3,3,"Need Attention"
"157","12539",3,14,"2011-11-17",3852.5,3,1,5,5,"About to Sleep"
"158","12540",17,13,"2011-11-20",13400.24,4,5,5,5,"Champions"
"159","12541",3,15,"2011-11-10",981.18,3,1,2,2,"Promising Customers"
"168","12553",9,12,"2011-12-01",3685.98,4,4,4,4,"Champions"
"170","12557",5,13,"2011-11-23",11990.96,4,3,5,5,"About to Sleep"
"173","12560",3,11,"2011-12-04",2134.01,5,1,3,3,"About to Sleep"
"175","12562",7,12,"2011-12-01",3781.74,4,4,4,4,"Champions"
"179","12567",9,14,"2011-11-17",9114.94,3,4,5,5,"Loyal Customers"
"180","12569",26,11,"2011-12-07",4088.69,5,5,5,5,"Champions"
"185","12576",5,15,"2011-11-04",1315.83,3,3,2,2,"Need Attention"
"192","12583",15,11,"2011-12-07",7281.38,5,5,5,5,"Champions"
"193","12584",8,11,"2011-12-06",2325.4,5,4,4,4,"Champions"
"202","12593",3,26,"2011-08-23",418.1,1,1,1,1,"Lost Customers"
"203","12594",9,16,"2011-11-02",3320.22,2,4,4,4,"Loyal Customers"
"205","12597",4,13,"2011-11-20",3811.22,4,2,5,5,"About to Sleep"
"206","12598",7,12,"2011-11-30",3023.08,4,4,4,4,"Champions"
"207","12599",7,15,"2011-11-10",1032.58,3,4,2,2,"About to Sleep"
"208","12600",10,14,"2011-11-11",2599.04,3,5,4,4,"Loyal Customers"
"209","12601",5,37,"2011-06-03",577.06,1,3,1,1,"About to Sleep"
"215","12609",3,22,"2011-09-22",1126.85,1,1,2,2,"Hibernating"
"216","12610",5,14,"2011-11-17",2099.54,3,3,3,3,"Need Attention"
"219","12613",3,19,"2011-10-13",3344.38,2,1,4,4,"About to Sleep"
"221","12615",4,11,"2011-12-07",2291.19,5,2,4,4,"About to Sleep"
"225","12619",8,13,"2011-11-23",3251.56,4,4,4,4,"Champions"
"226","12620",3,12,"2011-11-25",1339.41,4,1,2,2,"Promising Customers"
"227","12621",17,11,"2011-12-08",13689.67,5,5,5,5,"Champions"
"232","12626",9,14,"2011-11-16",6620.48,3,4,5,5,"Loyal Customers"
"233","12627",7,12,"2011-11-29",4478.53,4,4,5,5,"Champions"
